mislabeled_sample_name	correct_sample_name
HSB092	HSB092
HSB100	HSB100
HSB102	HSB515
HSB105	HSB105
HSB107	HSB107
HSB115	duplicate_HSB511
HSB116	no_dna_match_1
HSB121	HSB121
HSB122	HSB122
HSB127	HSB127
HSB132	HSB132
HSB139	HSB139
HSB148	HSB148
HSB150	HSB150
HSB152	HSB152
HSB154	HSB154
HSB171	HSB171
HSB172	HSB172
HSB174	HSB174
HSB194	HSB194
HSB195	HSB195
HSB221	HSB221
HSB222	HSB222
HSB223	HSB223
HSB238	HSB238
HSB248	HSB248
HSB260	HSB260
HSB261	HSB261
HSB265	HSB265
HSB267	HSB267
HSB268	contaminated_HSB268
HSB270	HSB270
HSB271	no_dna_match_2
HSB272	HSB272
HSB274	HSB274
HSB275	HSB275
HSB278	HSB278
HSB279	contaminated_HSB279
HSB282	HSB282
HSB286	HSB286
HSB289	HSB289
HSB292	HSB292
HSB313	relative_of_HSB321
HSB316	HSB316
HSB321	HSB321
HSB322	HSB322
HSB332	HSB332
HSB337	HSB337
HSB338	HSB338
HSB339	HSB339
HSB340	HSB340
HSB341	HSB341
HSB342	HSB342
HSB343	HSB343
HSB344	HSB344
HSB345	HSB345
HSB388	HSB388
HSB389	HSB389
HSB394	HSB394
HSB395	HSB395
HSB396	HSB396
HSB398	HSB398
HSB411	HSB411
HSB412	HSB412
HSB413	HSB413
HSB414	HSB414
HSB415	HSB415
HSB416	HSB416
HSB417	HSB417
HSB418	HSB418
HSB420	contaminated_HSB420
HSB421	HSB421
HSB422	HSB422
HSB425	contaminated_HSB425
HSB427	HSB427
HSB428	HSB428
HSB429	HSB429
HSB430	HSB430
HSB431	HSB431
HSB432	HSB432
HSB433	HSB433
HSB439	HSB439
HSB440	HSB440
HSB442	HSB442
HSB443	HSB443
HSB444	HSB444
HSB445	HSB445
HSB452	HSB452
HSB453	HSB453
HSB454	HSB454
HSB455	HSB455
HSB456	HSB456
HSB457	HSB457
HSB459	duplicate_HSB469
HSB460	HSB460
HSB461	HSB461
HSB462	contaminated_HSB462
HSB463	HSB463
HSB464	HSB464
HSB465	HSB465
HSB466	HSB466
HSB467	HSB467
HSB468	HSB468
HSB469	HSB469
HSB470	duplicate_HSB487
HSB471	HSB471
HSB472	HSB472
HSB473	HSB589
HSB474	HSB474
HSB475	HSB475
HSB476	HSB476
HSB478	relative_of_HSB469
HSB479	HSB479
HSB480	HSB480
HSB481	HSB481
HSB482	HSB482
HSB483	duplicate_HSB498
HSB484	HSB514
HSB485	HSB485
HSB486	HSB486
HSB487	HSB487
HSB488	HSB488
HSB489	HSB489
HSB490	HSB490
HSB492	HSB492
HSB493	HSB508
HSB494	HSB494
HSB495	HSB495
HSB496	HSB496
HSB497	HSB497
HSB498	HSB498
HSB499	duplicate_HSB490
HSB500	contaminated_HSB500
HSB501	HSB501
HSB502	HSB502
HSB503	HSB503
HSB504	HSB504
HSB505	contaminated_HSB504
HSB506	HSB506
HSB507	HSB493
HSB508	HSB116
HSB509	HSB509
HSB510	HSB510
HSB511	HSB511
HSB513	HSB499
HSB514	HSB514
HSB515	HSB484
HSB516	HSB516
HSB536	HSB536
HSB543	HSB543
HSB544	HSB544
HSB545	HSB545
HSB546	HSB546
HSB547	HSB547
HSB561	HSB561
HSB562	HSB562
HSB563	HSB563
HSB564	HSB564
HSB565	HSB565
HSB566	HSB566
HSB568	contaminated_HSB568
HSB569	HSB569
HSB571	HSB571
HSB572	HSB572
HSB573	duplicate_HSB623
HSB577	HSB577
HSB578	HSB578
HSB579	HSB579
HSB583	HSB587
HSB587	duplicate_HSB589
HSB589	HSB590
HSB590	HSB591
HSB591	HSB593
HSB593	HSB573
HSB594	HSB594
HSB595	HSB595
HSB596	HSB596
HSB597	HSB597
HSB598	HSB598
HSB608	HSB608
HSB615	HSB615
HSB616	HSB616
HSB618	HSB618
HSB619	HSB619
HSB622	HSB459
HSB623	HSB623
HSB624	HSB624
HSB625	HSB625
HSB626	HSB626
HSB627	contaminated_HSB627
HSB629	HSB629
HSB630	HSB630
HSB631	HSB631
HSB633	HSB633
HSB634	HSB634
HSB637	HSB637
HSB638	HSB638
HSB643	HSB643
HSB644	HSB644
HSB645	HSB645
HSB646	HSB646
HSB649	HSB649
HSB650	HSB650
HSB651	HSB651
HSB652	HSB652
HSB653	HSB653
HSB654	HSB654
HSB657	HSB657
HSB666	HSB666
HSB669	HSB669
HSB670	HSB670
HSB671	HSB671
HSB672	HSB672
HSB674	HSB674
HSB676	HSB676
HSB679	HSB679
