sample,sex,fastq_1,fastq_2,strandedness
HSB100,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB100_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB100_2_val_2.fq.gz,reverse
HSB515,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB102_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB102_2_val_2.fq.gz,reverse
HSB105,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB105_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB105_2_val_2.fq.gz,reverse
HSB107,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB107_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB107_2_val_2.fq.gz,reverse
HSB121,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB121_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB121_2_val_2.fq.gz,reverse
HSB122,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB122_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB122_2_val_2.fq.gz,reverse
HSB127,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB127_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB127_2_val_2.fq.gz,reverse
HSB132,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB132_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB132_2_val_2.fq.gz,reverse
HSB139,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB139_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB139_2_val_2.fq.gz,reverse
HSB148,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB148_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB148_2_val_2.fq.gz,reverse
HSB150,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB150_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB150_2_val_2.fq.gz,reverse
HSB152,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB152_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB152_2_val_2.fq.gz,reverse
HSB154,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB154_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB154_2_val_2.fq.gz,reverse
HSB171,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB171_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB171_2_val_2.fq.gz,reverse
HSB172,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB172_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB172_2_val_2.fq.gz,reverse
HSB174,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB174_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB174_2_val_2.fq.gz,reverse
HSB194,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB194_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB194_2_val_2.fq.gz,reverse
HSB195,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB195_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB195_2_val_2.fq.gz,reverse
HSB221,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB221_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB221_2_val_2.fq.gz,reverse
HSB222,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB222_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB222_2_val_2.fq.gz,reverse
HSB223,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB223_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB223_2_val_2.fq.gz,reverse
HSB238,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB238_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB238_2_val_2.fq.gz,reverse
HSB248,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB248_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB248_2_val_2.fq.gz,reverse
HSB260,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB260_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB260_2_val_2.fq.gz,reverse
HSB261,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB261_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB261_2_val_2.fq.gz,reverse
HSB265,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB265_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB265_2_val_2.fq.gz,reverse
HSB267,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB267_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB267_2_val_2.fq.gz,reverse
HSB270,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB270_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB270_2_val_2.fq.gz,reverse
HSB272,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB272_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB272_2_val_2.fq.gz,reverse
HSB274,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB274_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB274_2_val_2.fq.gz,reverse
HSB275,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB275_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB275_2_val_2.fq.gz,reverse
HSB278,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB278_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB278_2_val_2.fq.gz,reverse
