sample,sex,fastq_1,fastq_2,strandedness
HSB493,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB507_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB507_2_val_2.fq.gz,reverse
HSB509,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB509_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB509_2_val_2.fq.gz,reverse
HSB510,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB510_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB510_2_val_2.fq.gz,reverse
HSB511,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB511_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB511_2_val_2.fq.gz,reverse
HSB499,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB513_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB513_2_val_2.fq.gz,reverse
HSB514,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB514_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB514_2_val_2.fq.gz,reverse
HSB484,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB515_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB515_2_val_2.fq.gz,reverse
HSB516,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB516_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB516_2_val_2.fq.gz,reverse
HSB536,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB536_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB536_2_val_2.fq.gz,reverse
HSB116,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB508_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB508_2_val_2.fq.gz,reverse
HSB344,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB344_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB344_2_val_2.fq.gz,reverse
HSB443,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB443_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB443_2_val_2.fq.gz,reverse
HSB445,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB445_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB445_2_val_2.fq.gz,reverse
HSB546,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB546_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB546_2_val_2.fq.gz,reverse
HSB565,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB565_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB565_2_val_2.fq.gz,reverse
HSB579,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB579_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB579_2_val_2.fq.gz,reverse
HSB593,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB591_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB591_2_val_2.fq.gz,reverse
HSB608,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB608_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB608_2_val_2.fq.gz,reverse
HSB172,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB172_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB172_2_val_2.fq.gz,reverse
HSB343,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB343_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB343_2_val_2.fq.gz,reverse
HSB394,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB394_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB394_2_val_2.fq.gz,reverse
HSB421,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB421_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB421_2_val_2.fq.gz,reverse
